id,movie_name,synopsis,genre
44978,Super Me,A young scriptwriter starts bringing valuable objects back from his short nightmares of being chased by a demon. Selling them makes him rich.,fantasy
50185,Entity Project,A director and her friends renting a haunted house to capture paranormal events in order to prove it and become popular.,horror
34131,Behavioral Family Therapy for Serious Psychiatric Disorders,This is an educational video for families and family therapists that describes the Behavioral Family Therapy approach to dealing with serious psychiatric illnesses.,family
78522,Blood Glacier,Scientists working in the Austrian Alps discover that a glacier is leaking a liquid that appears to be affecting local wildlife.,scifi
2206,Apat na anino,Buy Day - Four Men Widely - Apart in Life - By Night Shadows United in One Fight Venting the Fire of their Fury Against the Hated Oppressors.,action
46636,Le démon dans l'île,"On an island, things start going crazy as the islands house hold appliances go rogue. It's up to Dr. Gabrielle Martin to discover what's causing this evil, and much more.",horror
53777,Candid,A video voyeur stalks women in the city with a digital camera until he crosses paths with beautiful model who harbors a dark secret; she is a serial killer.,horror
24872,Hired,"Twin brothers separated at birth and worlds apart, oblivious to each other existence they cross each other's paths when one is Hired by a gangster to take the other out.",crime
17224,Miruthan,A traffic police officer teams up with his friend and doctors in order to escape a deadly zombie apocalypse in the town and find out the possible antidote to stop it before time runs out.,adventure
54900,Until You See Me,A legendary tale unravels.,mystery
55570,Shamus,"Millions in diamonds are stolen from a safe in NYC and later the burglar is killed. Shamus is paid $10,000 by the owner to find the diamonds or killer.",mystery
51818,Crushed,A young woman returns home to her family vineyard after her father dies in an accident on the winery. But when his death is ruled a murder and her mother becomes the prime suspect she must uncover the truth.,horror
52119,Vampires,"Recovering from an ambush that killed his entire team, a vengeful vampire slayer must retrieve an ancient Catholic relic that, should it be acquired by vampires, will allow them to walk in sunlight.",horror
7285,The Rise of the Tiger,The mafia and their criminal activities.,action
3014,Doc Savage: The Man of Bronze,"Doc and the Amazing Five battle Captain Seas and ""the green death"" for control of a fabulous resource.",action
6324,Naked Killer,A young woman is trained by a martial arts specialist to become a professional assassin.,action
77823,Resistance,"After surviving a near fatal car crash, fungal biologist Gabby Paige regains consciousness in a hospital bed, inside a metal shipping container, buried underground only to learn that she may be the last hope for what remains of humanity.",scifi
6615,Khaki,Khaki Vance Dubose is a Rodeo Girl. But then she gives up and becomes a Cheerleader.,action
59024,Refugio,A Spanish Sorcerer travels through the ages pursuing an unlikely enemy.,mystery
32573,To the Beat!: Back 2 School,The story continues...at school.,family
22750,Quiet Please: Murder,Book thief/forger sells a fake book to a Nazi through a female agent. A detective tries to uncover who the forger is and gets in the middle of a three way struggle for rare books and revenge in a public library.,crime
47357,Hide and Seek,"As a widower tries to piece together his life in the wake of his wife's suicide, his daughter finds solace, at first, in her imaginary friend.",horror
37081,Paranormal Investigators,"When strange phenomena starts happening in a small town, two colleagues are called into action to investigate.",fantasy
747,L.A. Streetfighters,A Korean immigrant in L.A. encounters difficulties when he refuses to join the all-Korean gang in his highschool.,action
5118,The Four,"The Four,"" is a film encompassing the four horsemen of the apocalypse and their quest to gain control of the Earth, and the perils of one family in preventing them from doing so.",action
620,A Love to Die For,An over credulous best-selling author finds herself contemplating suicide after her son is kidnapped by a Russian businessman attempting to collect a debt from her recently deceased husband.,action
61591,The Land of Rock and Gold,"In a remote northern woodland community, a young First Nations mother and her 7-year-old son search for her boyfriend in the wake of his mysterious disappearance.",mystery
25377,Cold War 2,"After the end of Cold War mission, a new incident is happened at Hong Kong. However, cops cannot catch the killer and the police suspects each other in the organization.",crime
22430,99 Murders,"Louippan had climbed the mountains for the tribals. Even though time later named him a naxalite, Luoippan was always a lone warrior. Even when his wife and child were living in the valley, ...                See full synopsis »",crime
11066,Max Rules,"Three best friends spy on their families, sneak into each other's house, and organize elaborate pranks.",adventure
33941,The Wind in the Willows,"Accounts the friendship of four friends (Rat, Mole, Badger, and Toad) whose adventures test the very fiber of their loyalty.",family
77664,The Lost Isle.,"Set in the same universe as the Novel, a group of mercenaries are sent to an island where a new type of animal is reported to inhabit. What they find is worse than they could imagine.",scifi
65255,Kings Sole,"Los Angeles California is home to the countries most elite and prestigious businessmen, socialites, celebrities, and even the United States most notorious narcotic King Pin.",romance
72283,Shinkaijû Reigô,A giant sea monster wreaks havoc on a battleship after one of it's young is killed by the ship,scifi
18077,The Fiction-Makers,"The Saint's asked to act as a bodyguard to the best-selling adventure author Amos Klein, a young woman who uses a male pen-name.",crime
42755,Big Man on Campus,"In this version of ""The Hunchback of Notre Dame"", a hunchback is found living in the bell tower of UCLA. He is put on trial and made to go through tests. One of the research doctors falls for him, and he falls for her in the end.",fantasy
29087,Tough Cookies,"A lazy, deadbeat dad is issued a court order to form a Girl Scout troop with his rebellious daughter. Together they use unconventional methods to beat a rival troop at the National Scout Rally.",family
66160,"Now, We're Going to Geneva",A mildly tragic story of how the Vietnam war has bad and good ramifications on the characters lives.,romance
38041,Kirk,"Atop Doon hill, in Aberfoyle, Scotland, stands such a tree, where history tells us that in 1692, the Reverend Robert Kirk, the seventh son of a seventh son, a scholar and minister of religion, predicted his own fate.",fantasy
17422,The Fatal Flying Guillotines,A fighter confronts a rogue master armed with weapons capable of severing a head from 100 feet away.,adventure
33789,The Willoughbys,"Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.",family
28341,Camp Christmas,6 kids take the adventure of a lifetime and must learn to work together to save Christmas.,family
13676,Agent Crush,"To fight crime, a new hero is created, but there are a few small glitches to iron out.",adventure
54391,Até Onde?,"Um casal de jovens e a sua melhor amiga aventuram-se na estrada tendo como destino um festival de verão. Perdidos e recém-chegados a uma aldeia, à busca de informações sobre que direcção ...                See full synopsis »",mystery
21755,Going Places,"Two thugs harass assault, steal, murder, Marie-Ange, a jaded, passive hairdresser, joins them as lover, cook, and mother confessor, on her own search for seemingly unattainable sexual pleasure.",crime
54872,Red Raincoats,Delilah and Veronika meet while painting an old house owned by a mysterious woman. They slowly get to know each other as the house reveals its own secrets and transports them to places drawn from their imaginations and troubled pasts.,mystery
21567,The Carpet of Horror,An evil genius uses poison gas to avenge himself on his enemies.,crime
85015,The Plantation,An interracial couple takes a backpacking trip deep into the remote Louisiana swamps where they encounter sinister forces at an old plantation hell bent on turning the past into the present.,thriller
62528,Cellofan - med døden til følge,"Marianne is a successful journalist in a big newspaper. When her father takes ill, and asks her back home to find a box in the attic containing papers he wants her to burn before reading. But she reads, and then tries to solve the mystery.",mystery
72332,Hades Proper,"After an onslaught of simultaneous, worldwide earthquakes ravages the Earth, a team is sent to explore a crevice in Russia that may go down farther than man has ever been able to go.",scifi
54074,Sherlock Holmes and the Deadly Necklace,"Sherlock Holmes and Watson do battle with their nemesis, Professor Moriarity, over an ancient necklace attributed to Cleopatra.",mystery
31791,Pohádka svatojánské noci,"From a Wallachian folk tale, a clever military veteran gives his home to a tricky man trained to oppress the inhabitants of the village.",family
1175,The Pastor,"In a forgotten part of town, overrun by a ruthless gang; a community struggles with its faith, as they see their neighborhoods torn-apart and their youth targeted for gang recruitment. But all that is about to change.",action
34647,A Christmas Carol,"When the miserly Ebeneezer Scrooge receives ghostly visitations one fateful Christmas Eve, he is shown the error of his ways.",family
25066,Devil's Peak,"Set in North Carolina's Appalachian Mountains, eighteen-year-old Jacob McNeely is torn between appeasing his meth-dealing kingpin father and leaving the mountains forever with the girl he loves.",crime
51390,I Live Alone,Sixteen year old Parker has to go stay with her reclusive Aunt Len while her Mother's in the hospital. Parker quickly realizes her Aunt is living in solitude for a very dark and horrific reason.,horror
38599,Cardcaptor Sakura: The Sealed Card,"Sakura Kinomoto, mistress of the Clow Cards, faces not only the wrath of an unsealed Clow Card, but her own feelings for friend Syaoran Li who returns from Hong Kong for a visit.",fantasy
36394,Felix the Cat: The Movie,"In another dimension, the villainous scientist Duke of Zill, with the help of his mechanical, geometric army, takes over the Land of Oriana, prompting Felix the Cat to save its princess and restore order once again.",fantasy
52093,Helak: Kayip Köy,A family fled to an abandoned village after murdering their father to inherit his proprietary wealth so to cure their tongue-tied son but as they get there they found what they did not expect.,horror
29867,Hollywood Stargirl,"Stargirl Caraway as she journeys out of Mica into a bigger world of music, dreams and possibility.",family
4705,Bold Native,"Charlie Cranehill, an animal liberator wanted for domestic terrorism, emerges from the underground to coordinate a nationwide action as his estranged CEO father tries to find him before the FBI does.",action
22357,The Wreck of the Mary Deare,"A disgraced merchant marine officer elects to stay aboard his sinking cargo ship in order to prove the vessel was deliberately scuttled and, as a result, vindicate his good name.",crime
85837,Keith,Plot undisclosed.,thriller
29060,The Imagination of Crumbs,A teenage boy with Autism uses his imagination to cope with everyday life.,family
3720,Polis Evo 3,"Follows Inspector Khai, as he becomes desperate after an old grudge returns to haunt him threatening public with mysterious bombings.",action
61458,King of Thorn,A virus begins to grip the Earth's population and a group of hopeful survivors are cryogenically frozen in attempt to find a cure. But when the group awakens they are flung into a horrifying situation.,mystery
32,The Hidden Dove,"The Flying Dove organization pits the United States and Russia against each other in hopes that the two sides will go to war. Meanwhile, the CIA has assigned Ben Dalton to oversee a defection from the Flying Dove terrorist group.",action
5247,Axe Giant: The Wrath of Paul Bunyan,"Young adults at a first-time offenders' boot camp discover the legend of the giant lumberjack Paul Bunyan is real, but is much more horrifying than they could have imagined.",action
4123,The Desert Song,"The Desert Song is a 1929 American Pre-Code operetta film directed by Roy Del Ruth and starring John Boles, Louise Fazenda, and Myrna Loy.",action
75699,Time Burst: The Final Alliance,Several different factions compete in the search for ancient Japanese tablets that have the secret of immortality.,scifi
27144,Dating Daisy,Two passionate twenty-somethings in an on-again / off-again relationship decide to road trip home together for the holidays.,family
76174,Woman Plus Tree,"An unfulfilled artist, his schizophrenic wife and a teenage son suffering from prosopagnosia - in other words, a dysfunctional family of eccentrics in 1930s Europe comes together to overcome a common threat; a serial killer.",scifi
11549,Hanna Foster and the Guardians of Eden,A young woman evades a fedora-clad foe while smuggling a box of mysterious rocks on a train through the Alps. Her adventure gets complicated when one of the rocks begins to hatch.,adventure
77723,Blank,"A desperate writer signs up for a fully A.I. operated retreat to cure her writer's block, but when an unforeseen software glitch occurs, she gets trapped inside her unit with an unstable android and no communication with the outside world.",scifi
43271,Povestea dragostei,"The charmed pig from Creanga's ""Pig Story"" is actually a handsome extraterrestrial armored in an anti-pollution suit",fantasy
31336,Manden på Svanegården,"Henrik used to spend summers on Svanegården as kid. He's back on his own airplane after working in Australia, to meet cute Lisbeth and just in time to help save his vacation ""dad's"" farm from an evil criminal.",family
5998,World: Out of This World,Jordan and Harrison travel to space to get a key to Metruplus' mansion.,action
85400,Dear Dead Delilah,"A sickly matriarch of a dysfunctional family living in an old Southern mansion teases her siblings about finding a long lost treasure hidden in the premises, little did she know that there is someone ready to kill to get their hands on it.",thriller
20374,Boyz n the Hood,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",crime
68797,L.A. Love in 2020,Ryan does everything in his power to fly back to his girlfriend Sara in Los Angeles when the pandemic is declared and airports in Italy are shut down. Based on real events.,romance
55707,Extramarital,An aspiring writer (Traci Lords) gets involved in the investigation of her best friend after she is killed during a torrid affair.,mystery
26368,The Stranger Comes to Texas,"A young man flees the Italian mafia life he was raised in. With the help of his mother in Italy and relatives in America, he creates a new identity, and arrives as a mysterious stranger in a little Texas town.",crime
36644,Eve Angelic,A damaged young woman embarks on a journey into a world of supernatural and dark forces to unlock the secrets of her past.,fantasy
40732,Make Me Up,"Siri wakes to find herself trapped inside a brutalist candy-coloured dreamhouse, where she and her fellow inmates are forced to go head-to-head in a series of demeaning tasks.",fantasy
9845,Zejscie do piekla,"Two European travelers discover a Nazi-ruled colony, hidden somewhere in the Amazon rainforest.",adventure
77771,Doctor Who: The Final Adventure,The Doctor arrives on Earth to discover the Daleks in a new masterplan.,scifi
